Date,Predicted
2025-02-01,11.289733021478149
2025-02-02,11.290536117453632
2025-02-03,11.27457088147995
2025-02-04,11.333831146480478
2025-02-05,11.304760970100844
2025-02-06,11.291189524513317
2025-02-07,11.314128034365073
2025-02-08,11.316500456153983
2025-02-09,11.287675542843996
2025-02-10,11.29211746480841
2025-02-11,11.312190394937934
2025-02-12,11.325385123327244
2025-02-13,11.31526258881096
2025-02-14,11.297256094503481
2025-02-15,11.30557740053949
2025-02-16,11.308593733688603
2025-02-17,11.30619013915203
2025-02-18,11.32097932970218
2025-02-19,11.316660469478691
2025-02-20,11.300075592171506
2025-02-21,11.28593964804038
2025-02-22,11.317934674289743
2025-02-23,11.311950468538246
2025-02-24,11.270076256044863
2025-02-25,11.271657979835318
2025-02-26,11.29908905665021
2025-02-27,11.292274421279624
2025-02-28,11.293748519967847
