Date,Price,Predicted,Selisih,Persentase Error
2025-02-28,11.335,11.293748519967847,0.04125148003215351,0.36393012820603005
2025-02-27,11.332,11.292274421279624,0.039725578720377186,0.3505610547156476
2025-02-26,11.415,11.29908905665021,0.11591094334978891,1.0154265733665258
2025-02-25,11.387,11.271657979835318,0.11534202016468242,1.0129271991277986
2025-02-24,11.372,11.270076256044865,0.10192374395513504,0.8962692926058304
2025-02-21,11.359,11.28593964804038,0.07306035195962046,0.643193520200902
2025-02-20,11.379,11.300075592171506,0.07892440782849341,0.693597045684976
2025-02-19,11.317,11.316660469478691,0.00033953052130897277,0.0030001813317042745
2025-02-18,11.277,11.32097932970218,0.043979329702180436,0.3899913957806193
2025-02-17,11.231,11.30619013915203,0.07519013915202954,0.6694874824328159
2025-02-14,11.261,11.29725609450348,0.03625609450348044,0.3219615886997642
2025-02-13,11.346,11.31526258881096,0.030737411189040387,0.2709096702718172
2025-02-12,11.261,11.325385123327244,0.064385123327245,0.5717531598192435
2025-02-11,11.252,11.312190394937934,0.060190394937933434,0.5349306340022523
2025-02-10,11.249,11.29211746480841,0.04311746480840917,0.3833004250014149
2025-02-07,11.163,11.314128034365073,0.1511280343650725,1.3538299235427078
2025-02-06,11.284,11.291189524513316,0.007189524513314893,0.06371432571175906
2025-02-05,11.25,11.304760970100844,0.05476097010084402,0.48676417867416905
2025-02-04,11.234,11.333831146480478,0.09983114648047753,0.8886518290945125
2025-02-03,11.238,11.27457088147995,0.03657088147994969,0.3254216184369967
