Date,Price,Predicted,Selisih,Persentase Error
2025-02-28,16575.0,16336.664367430583,238.3356325694167,1.4379223684429363
2025-02-27,16445.0,16292.28179344288,152.71820655711963,0.9286604229681947
2025-02-26,16365.0,16309.050452134048,55.9495478659519,0.34188541317416377
2025-02-25,16340.0,16298.427512046575,41.57248795342457,0.25442159090223115
2025-02-24,16270.0,16281.198534978492,11.198534978491807,0.06882934836196562
2025-02-21,16300.0,16285.878166574132,14.121833425868317,0.08663701488262772
2025-02-20,16325.0,16266.733760788216,58.26623921178361,0.35691417587616303
2025-02-19,16330.0,16281.027396935937,48.97260306406315,0.2998934664057756
2025-02-18,16270.0,16277.538127159092,7.538127159092255,0.04633145150025971
2025-02-17,16210.0,16303.202182098052,93.20218209805171,0.5749671936955688
2025-02-14,16255.0,16300.628732310022,45.628732310022315,0.28070582780696596
2025-02-13,16350.0,16272.332142780266,77.66785721973429,0.4750327658699345
2025-02-12,16360.0,16261.31035260929,98.68964739071089,0.6032374534884528
2025-02-11,16370.0,16263.95701379482,106.04298620518057,0.6477885534830823
2025-02-10,16340.0,16243.07153657936,96.92846342063967,0.5931974505547104
2025-02-07,16270.0,16261.750562166611,8.249437833388583,0.050703367138221156
2025-02-06,16325.0,16293.01693899675,31.98306100324953,0.19591461564011964
2025-02-05,16280.0,16233.173892271136,46.82610772886437,0.2876296543542038
2025-02-04,16340.0,16258.10934598602,81.89065401397966,0.5011667932312096
2025-02-03,16430.0,16250.907206264115,179.0927937358847,1.0900352631520676
