Date,Predicted
2025-02-01,16229.490729485546
2025-02-02,16275.85461475538
2025-02-03,16250.907206264117
2025-02-04,16258.10934598602
2025-02-05,16233.173892271136
2025-02-06,16293.01693899675
2025-02-07,16261.750562166613
2025-02-08,16284.413937307821
2025-02-09,16286.466071631705
2025-02-10,16243.07153657936
2025-02-11,16263.957013794821
2025-02-12,16261.31035260929
2025-02-13,16272.332142780266
2025-02-14,16300.628732310022
2025-02-15,16278.346096211975
2025-02-16,16279.265993758614
2025-02-17,16303.202182098052
2025-02-18,16277.538127159092
2025-02-19,16281.027396935937
2025-02-20,16266.733760788215
2025-02-21,16285.878166574132
2025-02-22,16330.631924524983
2025-02-23,16295.112916800845
2025-02-24,16281.198534978492
2025-02-25,16298.427512046577
2025-02-26,16309.050452134048
2025-02-27,16292.28179344288
2025-02-28,16336.664367430585
