Date,Predicted
2025-02-01,104.74053909737165
2025-02-02,105.18403419927495
2025-02-03,104.8945609329122
2025-02-04,104.97390727993195
2025-02-05,105.0009154329646
2025-02-06,105.15095693729577
2025-02-07,105.21089573666666
2025-02-08,105.22728140782857
2025-02-09,105.14850535810176
2025-02-10,105.06693283334124
2025-02-11,105.22109718948332
2025-02-12,105.2619650102875
2025-02-13,105.26230034403443
2025-02-14,105.35078813678672
2025-02-15,105.26107618026421
2025-02-16,105.30404867107923
2025-02-17,105.40292420297385
2025-02-18,105.35289179506078
2025-02-19,105.3795736785946
2025-02-20,105.49261352936875
2025-02-21,105.10638428613106
2025-02-22,105.32313138566793
2025-02-23,105.33145713922906
2025-02-24,105.13803316923469
2025-02-25,105.24742557604478
2025-02-26,105.21178331935208
2025-02-27,105.2080479562387
2025-02-28,105.37326229141512
